display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.91328] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.91365] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.91402] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.91438] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.91475] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.91512] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.91549] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.91586] Samples: 4
display  D   display_settings.c:191  debug_display_settings           [   0.91623] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.91659] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.91696] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.91731] Decoding visual no. 14...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.91771] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.91809] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.91845] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.91881] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.91918] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.91955] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.91992] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.92029] Samples: 4
display  D   display_settings.c:191  debug_display_settings           [   0.92066] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.92103] Score is : 1793
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.92140] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.92177] Decoding visual no. 15...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.92216] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.92251] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.92287] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.92324] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.92361] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.92398] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.92435] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.92473] Samples: 4
display  D   display_settings.c:191  debug_display_settings           [   0.92506] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.92541] Score is : 1793
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.92577] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.92613] Decoding visual no. 16...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.92653] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.92687] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.92723] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.92758] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.92794] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.92830] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.92866] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.92902] Samples: 8
display  D   display_settings.c:191  debug_display_settings           [   0.92937] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.92973] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.93009] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.93045] Decoding visual no. 17...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.93081] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.93120] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.93156] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.93193] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.93229] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.93266] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.93304] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.93340] Samples: 8
display  D   display_settings.c:191  debug_display_settings           [   0.93377] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.93414] Score is : 1741
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.93451] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.93488] Decoding visual no. 18...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.93528] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.93562] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.93598] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.93635] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.93677] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.93714] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.93751] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.93788] Samples: 8
display  D   display_settings.c:191  debug_display_settings           [   0.93825] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.93861] Score is : 1741
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.93899] -- 
